Name,Shader Type
AdornAALineFS,Fragment
AdornAALineVS,Vertex
AdornFixedWidthAALineVS,Vertex
AdornFS,Fragment
AdornLightingVS,Vertex
AdornObjectFS,Fragment
AdornObjectParabolaVS,Vertex
AdornObjectRopeVS,Vertex
AdornObjectSpringVS,Vertex
AdornObjectVS,Vertex
AdornOnTopFS,Fragment
AdornOutlineFS,Fragment
AdornOutlineVS,Vertex
AdornSelfLitHighlightVS,Vertex
AdornSelfLitVS,Vertex
AdornUnlitFS,Fragment
AdornVS,Vertex
AdvSkyEnvFS,Fragment
AdvSkyEnvOldFS,Fragment
AdvSkyFS,Fragment
AdvSkyLinearEnvFS,Fragment
AdvSkyLinearEnvOldFS,Fragment
AdvSkyLinearFS,Fragment
AdvSkyLinearOldFS,Fragment
AdvSkyOldFS,Fragment
AdvSkyRGBEEnvFS,Fragment
AdvSkyRGBEEnvOldFS,Fragment
AdvSkyRGBEFS,Fragment
AdvSkyRGBELinearEnvFS,Fragment
AdvSkyRGBELinearEnvOldFS,Fragment
AdvSkyRGBELinearFS,Fragment
AdvSkyRGBELinearOldFS,Fragment
AdvSkyRGBEOldFS,Fragment
AdvSkyVS,Vertex
AdvStarsFS,Fragment
AdvStarsOldFS,Fragment
AdvStarsVS,Vertex
AdvSunFS,Fragment
AdvSunOldFS,Fragment
AdvSunVS,Vertex
CheckerboardDepthFS,Fragment
CloudsBsmFS,Fragment
CloudsClearToSkyColorFS,Fragment
CloudsDist2dFS,Fragment
CloudsDistFS,Fragment
CloudsReprojectFilterFS,Fragment
CloudsSunCoverFS,Fragment
CloudsUpsampleNoHistoryFS,Fragment
CloudsVS,Vertex
CopyGuiVS,Vertex
DefaultDepthFS,Fragment
DefaultModelLodFS,Fragment
DefaultModelLodVS,Vertex
DefaultShadowFS,Fragment
DefaultSurfaceAppearanceDitheredDepthFS,Fragment
DefaultUnifiedFlatOpaqueFS_00000800,Fragment
DefaultUnifiedFlatOpaqueFS_10000000,Fragment
DefaultUnifiedFlatOpaqueFS_10000400,Fragment
DefaultUnifiedFlatOpaqueFS_20000000,Fragment
DefaultUnifiedFlatOpaqueVS_00000800,Vertex
DefaultUnifiedFlatOpaqueVS_00000801,Vertex
DefaultUnifiedFlatOpaqueVS_00000802,Vertex
DefaultUnifiedFlatOpaqueVS_00000806,Vertex
DefaultUnifiedFlatOpaqueVS_00001800,Vertex
DefaultUnifiedFlatOpaqueVS_00001802,Vertex
DefaultUnifiedFlatOpaqueVS_00001806,Vertex
DefaultUnifiedFlatOpaqueVS_00100801,Vertex
DefaultUnifiedFlatOpaqueVS_04000806,Vertex
DefaultUnifiedFlatOpaqueVS_04001806,Vertex
DefaultUnifiedFlatOpaqueVS_10000000,Vertex
DefaultUnifiedFlatOpaqueVS_10000001,Vertex
DefaultUnifiedFlatOpaqueVS_10000002,Vertex
DefaultUnifiedFlatOpaqueVS_10000006,Vertex
DefaultUnifiedFlatOpaqueVS_10000400,Vertex
DefaultUnifiedFlatOpaqueVS_10000401,Vertex
DefaultUnifiedFlatOpaqueVS_10000402,Vertex
DefaultUnifiedFlatOpaqueVS_10000406,Vertex
DefaultUnifiedFlatOpaqueVS_10001000,Vertex
DefaultUnifiedFlatOpaqueVS_10001002,Vertex
DefaultUnifiedFlatOpaqueVS_10001006,Vertex
DefaultUnifiedFlatOpaqueVS_10001400,Vertex
DefaultUnifiedFlatOpaqueVS_10001402,Vertex
DefaultUnifiedFlatOpaqueVS_10001406,Vertex
DefaultUnifiedFlatOpaqueVS_10100001,Vertex
DefaultUnifiedFlatOpaqueVS_10100401,Vertex
DefaultUnifiedFlatOpaqueVS_14000006,Vertex
DefaultUnifiedFlatOpaqueVS_14000406,Vertex
DefaultUnifiedFlatOpaqueVS_14001006,Vertex
DefaultUnifiedFlatOpaqueVS_14001406,Vertex
DefaultUnifiedFlatOpaqueVS_20000000,Vertex
DefaultUnifiedFlatOpaqueVS_20000001,Vertex
DefaultUnifiedFlatOpaqueVS_20000002,Vertex
DefaultUnifiedFlatOpaqueVS_20000006,Vertex
DefaultUnifiedFlatOpaqueVS_20001000,Vertex
DefaultUnifiedFlatOpaqueVS_20001002,Vertex
DefaultUnifiedFlatOpaqueVS_20001006,Vertex
DefaultUnifiedFlatOpaqueVS_20100001,Vertex
DefaultUnifiedFlatOpaqueVS_24000006,Vertex
DefaultUnifiedFlatOpaqueVS_24001006,Vertex
DefaultUnifiedFlatTransparentFS_00000800,Fragment
DefaultUnifiedFlatTransparentFS_10000000,Fragment
DefaultUnifiedFlatTransparentFS_10000400,Fragment
DefaultUnifiedFlatTransparentFS_20000000,Fragment
DefaultUnifiedFlatTransparentVS_00000800,Vertex
DefaultUnifiedFlatTransparentVS_00000801,Vertex
DefaultUnifiedFlatTransparentVS_00000802,Vertex
DefaultUnifiedFlatTransparentVS_00000806,Vertex
DefaultUnifiedFlatTransparentVS_00001800,Vertex
DefaultUnifiedFlatTransparentVS_00001802,Vertex
DefaultUnifiedFlatTransparentVS_00001806,Vertex
DefaultUnifiedFlatTransparentVS_00100801,Vertex
DefaultUnifiedFlatTransparentVS_04000806,Vertex
DefaultUnifiedFlatTransparentVS_04001806,Vertex
DefaultUnifiedFlatTransparentVS_10000000,Vertex
DefaultUnifiedFlatTransparentVS_10000001,Vertex
DefaultUnifiedFlatTransparentVS_10000002,Vertex
DefaultUnifiedFlatTransparentVS_10000006,Vertex
DefaultUnifiedFlatTransparentVS_10000400,Vertex
DefaultUnifiedFlatTransparentVS_10000401,Vertex
DefaultUnifiedFlatTransparentVS_10000402,Vertex
DefaultUnifiedFlatTransparentVS_10000406,Vertex
DefaultUnifiedFlatTransparentVS_10001000,Vertex
DefaultUnifiedFlatTransparentVS_10001002,Vertex
DefaultUnifiedFlatTransparentVS_10001006,Vertex
DefaultUnifiedFlatTransparentVS_10001400,Vertex
DefaultUnifiedFlatTransparentVS_10001402,Vertex
DefaultUnifiedFlatTransparentVS_10001406,Vertex
DefaultUnifiedFlatTransparentVS_10100001,Vertex
DefaultUnifiedFlatTransparentVS_10100401,Vertex
DefaultUnifiedFlatTransparentVS_14000006,Vertex
DefaultUnifiedFlatTransparentVS_14000406,Vertex
DefaultUnifiedFlatTransparentVS_14001006,Vertex
DefaultUnifiedFlatTransparentVS_14001406,Vertex
DefaultUnifiedFlatTransparentVS_20000000,Vertex
DefaultUnifiedFlatTransparentVS_20000001,Vertex
DefaultUnifiedFlatTransparentVS_20000002,Vertex
DefaultUnifiedFlatTransparentVS_20000006,Vertex
DefaultUnifiedFlatTransparentVS_20001000,Vertex
DefaultUnifiedFlatTransparentVS_20001002,Vertex
DefaultUnifiedFlatTransparentVS_20001006,Vertex
DefaultUnifiedFlatTransparentVS_20100001,Vertex
DefaultUnifiedFlatTransparentVS_24000006,Vertex
DefaultUnifiedFlatTransparentVS_24001006,Vertex
DefaultUnifiedForcefieldFS_00000800,Fragment
DefaultUnifiedForcefieldFS_01000800,Fragment
DefaultUnifiedForcefieldFS_10000000,Fragment
DefaultUnifiedForcefieldFS_10000400,Fragment
DefaultUnifiedForcefieldFS_11000000,Fragment
DefaultUnifiedForcefieldFS_11000400,Fragment
DefaultUnifiedForcefieldFS_20000000,Fragment
DefaultUnifiedForcefieldFS_21000000,Fragment
DefaultUnifiedForcefieldVS_00000800,Vertex
DefaultUnifiedForcefieldVS_00000801,Vertex
DefaultUnifiedForcefieldVS_00000802,Vertex
DefaultUnifiedForcefieldVS_00000806,Vertex
DefaultUnifiedForcefieldVS_00001800,Vertex
DefaultUnifiedForcefieldVS_00001802,Vertex
DefaultUnifiedForcefieldVS_00001806,Vertex
DefaultUnifiedForcefieldVS_00100801,Vertex
DefaultUnifiedForcefieldVS_04000806,Vertex
DefaultUnifiedForcefieldVS_04001806,Vertex
DefaultUnifiedForcefieldVS_10000000,Vertex
DefaultUnifiedForcefieldVS_10000001,Vertex
DefaultUnifiedForcefieldVS_10000002,Vertex
DefaultUnifiedForcefieldVS_10000006,Vertex
DefaultUnifiedForcefieldVS_10000400,Vertex
DefaultUnifiedForcefieldVS_10000401,Vertex
DefaultUnifiedForcefieldVS_10000402,Vertex
DefaultUnifiedForcefieldVS_10000406,Vertex
DefaultUnifiedForcefieldVS_10001000,Vertex
DefaultUnifiedForcefieldVS_10001002,Vertex
DefaultUnifiedForcefieldVS_10001006,Vertex
DefaultUnifiedForcefieldVS_10001400,Vertex
DefaultUnifiedForcefieldVS_10001402,Vertex
DefaultUnifiedForcefieldVS_10001406,Vertex
DefaultUnifiedForcefieldVS_10100001,Vertex
DefaultUnifiedForcefieldVS_10100401,Vertex
DefaultUnifiedForcefieldVS_14000006,Vertex
DefaultUnifiedForcefieldVS_14000406,Vertex
DefaultUnifiedForcefieldVS_14001006,Vertex
DefaultUnifiedForcefieldVS_14001406,Vertex
DefaultUnifiedForcefieldVS_20000000,Vertex
DefaultUnifiedForcefieldVS_20000001,Vertex
DefaultUnifiedForcefieldVS_20000002,Vertex
DefaultUnifiedForcefieldVS_20000006,Vertex
DefaultUnifiedForcefieldVS_20001000,Vertex
DefaultUnifiedForcefieldVS_20001002,Vertex
DefaultUnifiedForcefieldVS_20001006,Vertex
DefaultUnifiedForcefieldVS_20100001,Vertex
DefaultUnifiedForcefieldVS_24000006,Vertex
DefaultUnifiedForcefieldVS_24001006,Vertex
DefaultUnifiedGlassTintFS,Fragment
DefaultUnifiedGlassTintFS_01000000,Fragment
DefaultUnifiedGlassTintVS,Vertex
DefaultUnifiedGlassTintVS_00000001,Vertex
DefaultUnifiedGlassTintVS_00000002,Vertex
DefaultUnifiedGlassTintVS_00000006,Vertex
DefaultUnifiedGlassTintVS_00000400,Vertex
DefaultUnifiedGlassTintVS_00000401,Vertex
DefaultUnifiedGlassTintVS_00000402,Vertex
DefaultUnifiedGlassTintVS_00000406,Vertex
DefaultUnifiedGlassTintVS_00001000,Vertex
DefaultUnifiedGlassTintVS_00001002,Vertex
DefaultUnifiedGlassTintVS_00001006,Vertex
DefaultUnifiedGlassTintVS_00001400,Vertex
DefaultUnifiedGlassTintVS_00001402,Vertex
DefaultUnifiedGlassTintVS_00001406,Vertex
DefaultUnifiedGlassTintVS_00100001,Vertex
DefaultUnifiedGlassTintVS_00100401,Vertex
DefaultUnifiedGlassTintVS_04000006,Vertex
DefaultUnifiedGlassTintVS_04000406,Vertex
DefaultUnifiedGlassTintVS_04001006,Vertex
DefaultUnifiedGlassTintVS_04001406,Vertex
DefaultUnifiedGlassTransparentFS_00000800,Fragment
DefaultUnifiedGlassTransparentFS_01000800,Fragment
DefaultUnifiedGlassTransparentFS_08000800,Fragment
