Name,Shader Type
AdornAALineFS,Fragment
AdornAALineVS,Vertex
AdornFixedWidthAALineVS,Vertex
AdornFS,Fragment
AdornLightingVS,Vertex
AdornObjectFS,Fragment
AdornObjectParabolaVS,Vertex
AdornObjectRopeVS,Vertex
AdornObjectSpringVS,Vertex
AdornObjectVS,Vertex
AdornOnTopFS,Fragment
AdornOutlineFS,Fragment
AdornOutlineVS,Vertex
AdornSelfLitHighlightVS,Vertex
AdornSelfLitVS,Vertex
AdornUnlitFS,Fragment
AdornVS,Vertex
AdvSkyEnvFS,Fragment
AdvSkyFS,Fragment
AdvSkyLinearEnvFS,Fragment
AdvSkyLinearFS,Fragment
AdvSkyVS,Vertex
AdvStarsFS,Fragment
AdvStarsVS,Vertex
AdvSunFS,Fragment
AdvSunVS,Vertex
Blur1FS,Fragment
Blur3FS,Fragment
Blur5FS,Fragment
Blur7FS,Fragment
Clouds2dFS,Fragment
CloudsClearToSkyColorFS,Fragment
CloudsCompFS,Fragment
CloudsFS,Fragment
CloudsGenReflectionMapFS,Fragment
CloudsUpsampleNoHistoryFS,Fragment
CloudsVS,Vertex
CloudsWind2dFS,Fragment
CloudsWindFS,Fragment
CloudsWindGenReflectionMapFS,Fragment
CopyGuiVS,Vertex
DefaultDepthFS,Fragment
DefaultDepthVS_00000000,Vertex
DefaultDepthVS_00000002,Vertex
DefaultDepthVS_00000006,Vertex
DefaultDepthVS_00001000,Vertex
DefaultDepthVS_00001002,Vertex
DefaultDepthVS_00001006,Vertex
DefaultDetiledHQFS_00000000,Fragment
DefaultForceFieldFS,Fragment
DefaultForceFieldHQFS_00000000,Fragment
DefaultForceFieldHQVS_00000000,Vertex
DefaultForceFieldHQVS_00000002,Vertex
DefaultForceFieldHQVS_00000006,Vertex
DefaultForceFieldHQVS_00001000,Vertex
DefaultForceFieldHQVS_00001002,Vertex
DefaultForceFieldHQVS_00001006,Vertex
DefaultForceFieldSHQFS_00000000,Fragment
DefaultForceFieldVS_00000000,Vertex
DefaultForceFieldVS_00000002,Vertex
DefaultForceFieldVS_00000006,Vertex
DefaultForceFieldVS_00000400,Vertex
DefaultForceFieldVS_00000402,Vertex
DefaultForceFieldVS_00000406,Vertex
DefaultForceFieldVS_00001000,Vertex
DefaultForceFieldVS_00001002,Vertex
DefaultForceFieldVS_00001006,Vertex
DefaultForceFieldVS_00001400,Vertex
DefaultForceFieldVS_00001402,Vertex
DefaultForceFieldVS_00001406,Vertex
DefaultGlassHQFS_00000000,Fragment
DefaultGlassSuperHQFS_00000000,Fragment
DefaultHighlightAlphaTestVS_00000000,Vertex
DefaultHighlightAlphaTestVS_00000002,Vertex
DefaultHighlightAlphaTestVS_00000006,Vertex
DefaultHighlightAlphaTestVS_00001000,Vertex
DefaultHighlightAlphaTestVS_00001002,Vertex
DefaultHighlightAlphaTestVS_00001006,Vertex
DefaultHighlightVS_00000000,Vertex
DefaultHighlightVS_00000002,Vertex
DefaultHighlightVS_00000006,Vertex
DefaultHighlightVS_00001000,Vertex
DefaultHighlightVS_00001002,Vertex
DefaultHighlightVS_00001006,Vertex
DefaultHQVS_00000000,Vertex
DefaultHQVS_00000002,Vertex
DefaultHQVS_00000006,Vertex
DefaultHQVS_00001000,Vertex
DefaultHQVS_00001002,Vertex
DefaultHQVS_00001006,Vertex
DefaultNeonFS_00000000,Fragment
DefaultNeonHQFS_00000000,Fragment
DefaultNeonHQInGuiFS,Fragment
DefaultNeonInGuiFS,Fragment
DefaultOpaqueFS_00000000,Fragment
DefaultOpaqueHQFS_00000000,Fragment
DefaultPlasticFS_00000000,Fragment
DefaultPlasticHQFS_00000000,Fragment
DefaultPlasticReflectionFS_00000000,Fragment
DefaultPlasticReflectionHQFS_00000000,Fragment
DefaultReflectionVS_00000000,Vertex
DefaultReflectionVS_00000002,Vertex
DefaultReflectionVS_00000006,Vertex
DefaultReflectionVS_00000400,Vertex
DefaultReflectionVS_00000402,Vertex
DefaultReflectionVS_00000406,Vertex
DefaultReflectionVS_00001000,Vertex
DefaultReflectionVS_00001002,Vertex
DefaultReflectionVS_00001006,Vertex
DefaultReflectionVS_00001400,Vertex
DefaultReflectionVS_00001402,Vertex
DefaultReflectionVS_00001406,Vertex
DefaultShadowFS,Fragment
DefaultShadowGeomVS_00000000,Vertex
DefaultShadowGeomVS_00000002,Vertex
DefaultShadowGeomVS_00000006,Vertex
DefaultShadowGeomVS_00001000,Vertex
DefaultShadowGeomVS_00001002,Vertex
DefaultShadowGeomVS_00001006,Vertex
DefaultSurfaceAppearanceDitheredDepthFS,Fragment
DefaultSurfaceAppearanceDitheredDepthFS_00000000,Fragment
DefaultSurfaceAppearanceDitheredDepthVS_00000000,Vertex
DefaultSurfaceAppearanceDitheredDepthVS_00000002,Vertex
DefaultSurfaceAppearanceDitheredDepthVS_00000006,Vertex
DefaultSurfaceAppearanceDitheredDepthVS_00001000,Vertex
DefaultSurfaceAppearanceDitheredDepthVS_00001002,Vertex
DefaultSurfaceAppearanceDitheredDepthVS_00001006,Vertex
DefaultSurfaceAppearanceDitheredFS_00000000,Fragment
DefaultSurfaceAppearanceDitheredHQFS_00000000,Fragment
DefaultSurfaceAppearanceFS_00000000,Fragment
DefaultSurfaceAppearanceHQFS_00000000,Fragment
DefaultSurfaceHQVS_00000000,Vertex
DefaultSurfaceHQVS_00000002,Vertex
DefaultSurfaceHQVS_00000006,Vertex
DefaultSurfaceHQVS_00001000,Vertex
DefaultSurfaceHQVS_00001002,Vertex
DefaultSurfaceHQVS_00001006,Vertex
DefaultTiledEmissiveHideDiffuseRepHQFS_00000000,Fragment
DefaultTiledHideAllRepHQFS_00000000,Fragment
DefaultTiledHideDiffuseRepHQFS_00000000,Fragment
DefaultTiledHQFS_00000000,Fragment
DefaultTiledUnifiedEmissiveHideDiffuseRepHQFS_00000000,Fragment
DefaultTransparentFS_00000000,Fragment
DefaultTransparentHQFS_00000000,Fragment
DefaultVS_00000000,Vertex
DefaultVS_00000002,Vertex
DefaultVS_00000006,Vertex
DefaultVS_00000400,Vertex
DefaultVS_00000402,Vertex
DefaultVS_00000406,Vertex
DefaultVS_00001000,Vertex
DefaultVS_00001002,Vertex
DefaultVS_00001006,Vertex
DefaultVS_00001400,Vertex
DefaultVS_00001402,Vertex
DefaultVS_00001406,Vertex
DefaultWangHQFS_00000000,Fragment
DownSample4x4AvgFS,Fragment
DownSample4x4MaxFS,Fragment
DownSample4x4VS,Vertex
DownSampleGjoel8UVVS,Vertex
DownSampleGjoelFS,Fragment
DownSampleGjoelLinearFS,Fragment
DownSampleGjoelMipFS,Fragment
DownSampleGlowTemporal8x8FS,Fragment
DownSampleGlowTemporalLinear8x8FS,Fragment
FXCompositingFS,Fragment
FXCompositingLinearFS,Fragment
GlassTintFS,Fragment
GlassVS_00000000,Vertex
GlassVS_00000002,Vertex
GlassVS_00000006,Vertex
GlassVS_00000400,Vertex
GlassVS_00000402,Vertex
GlassVS_00000406,Vertex
GlassVS_00001000,Vertex
GlassVS_00001002,Vertex
GlassVS_00001006,Vertex
GlassVS_00001400,Vertex
GlassVS_00001402,Vertex
GlassVS_00001406,Vertex
GrassFS,Fragment
GrassHQFS,Fragment
GrassHQVS,Vertex
GrassHQVSWind,Vertex
GrassVS,Vertex
GrassVSPrecise,Vertex
GridFS_00000000,Fragment
GridVS_00000000,Vertex
GridVS_00000002,Vertex
GridVS_00000006,Vertex
GridVS_00001000,Vertex
GridVS_00001002,Vertex
GridVS_00001006,Vertex
HighlightInPlaceFS_00000000,Fragment
HighlightPostprocessAlphaTestFS_00000000,Fragment
HighlightPostprocessFS_00000000,Fragment
HighlightStudioSelectionAlphaTestFS_00000000,Fragment
HighlightStudioSelectionFS_00000000,Fragment
HighlightStudioSelectionTeamCreateAlphaTestFS_00000000,Fragment
HighlightStudioSelectionTeamCreateFS_00000000,Fragment
ImageProcessAlphaFS,Fragment
ImageProcessBloomFS,Fragment
ImageProcessBloomLinearFS,Fragment
ImageProcessBlurBloomFS,Fragment
ImageProcessBlurBloomLinearFS,Fragment
ImageProcessBlurFS,Fragment
ImageProcessBlurFXCompositionFS,Fragment
ImageProcessBlurFXCompositionLinearFS,Fragment
ImageProcessFS,Fragment
ImageProcessFXCompositionFS,Fragment
ImageProcessFXCompositionLinearFS,Fragment
ImageProcessLQNeonBloomFS,Fragment
ImageProcessLQNeonBloomLinearFS,Fragment
ImageProcessLQNeonBlurBloomFS,Fragment
ImageProcessLQNeonBlurBloomLinearFS,Fragment
ImageProcessLQNeonBlurFS,Fragment
ImageProcessLQNeonFS,Fragment
ImGui3DFS,Fragment
ImGuiCubeFS,Fragment
ImGuiFS,Fragment
ImGuiTexVS,Vertex
ImGuiVS,Vertex
LightGridPointSplatFS,Fragment
LightGridPointSplatVS,Vertex
LinearizeDepthFS,Fragment
LowQGlassFS,Fragment
LowQMaterialDetiledFS_00000000,Fragment
LowQMaterialFS_00000000,Fragment
LowQMaterialWangFallbackFS,Fragment
LowQMaterialWangFS,Fragment
OutlineEffectFS,Fragment
OutlineEffectLQFS,Fragment
ParticleCurveAddFS,Fragment
ParticleCurveCrazyFS,Fragment
ParticleCurveCrazySparklesFS,Fragment
ParticleCurveModulateFS,Fragment
ParticleCurveVS,Vertex
ParticleCustomFS,Fragment
ParticleCustomLerpFixFS,Fragment
ParticleCustomVS,Vertex
ParticleLightingFS,Fragment
ParticleLightingVS,Vertex
PassThroughArrayFS,Fragment
PassThroughFS,Fragment
PassThroughLodFS,Fragment
PassThroughModifyUVVS,Vertex
PassThroughModifyVS,Vertex
PassThroughNoOpVS,Vertex
PassThroughPosVS,Vertex
PassThroughVS,Vertex
PerformanceOverlayFS_00000000,Fragment
PerformanceOverlayLightPS,Fragment
PerformanceOverlayLightVS,Vertex
PerformanceOverlayScreenFS,Fragment
PerformanceOverlayTerrainFS_00000000,Fragment
ProcessGuiFS,Fragment
ProfilerFS,Fragment
ProfilerVS,Vertex
RadialBlurFS,Fragment
SelectionOutlineActiveConstraintFixFS,Fragment
SelectionOutlineActiveFS,Fragment
SelectionOutlineConstraintFixFS,Fragment
SelectionOutlineFS,Fragment
SelectionOutlineHorizFS,Fragment
SelectionOutlineHoverConstraintFixFS,Fragment
SelectionOutlineHoverFS,Fragment
SelectionOutlineTeamCreateConstraintFixFS,Fragment
SelectionOutlineTeamCreateFS,Fragment
SelectionOutlineVerticalFS,Fragment
ShadowBlurFS,Fragment
ShadowBlurMarkFS,Fragment
ShadowBlurMarkVS,Vertex
SkyFS,Fragment
SkyLinearFS,Fragment
SkyVS,Vertex
SmoothClusterDepthFS,Fragment
SmoothClusterDepthVS,Vertex
