Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AvatarSettings.Plugin.Name,,,Avatar Settings,Avatar Settings,إعدادات الأفاتار,Avatareinstellungen,Configuración de avatar,Paramètres de l'avatar,अवतार की सेटिंग्स,Pengaturan Avatar,Impostazioni dell'avatar,アバター設定,아바타 설정,Ustawienia awatara,Configurações do avatar,,การตั้งค่าอวาตาร์,Avatar Ayarları,Cài đặt avatar,AvatarSettings,AvatarSettings,虛擬人偶設定
Studio.AvatarSettings.Plugin.Description,,,Update player avatar settings for this experience,Update player avatar settings for this experience,تحديث إعدادات أفاتار اللاعب لهذه التجربة,Aktualisiere die Avatareinstellungen für Spieler für diese Experience,Actualizar la configuración del avatar para esta experiencia,Mettre à jour les paramètres de l'avatar du joueur pour cette expérience,"इस एक्सपीरिएंस के लिए, प्लेयर के अवतार की सेटिंग्स अपडेट करें",Ubah pengaturan avatar pemain untuk pengalaman virtual ini,Aggiorna le impostazioni dell'avatar del giocatore per questa esperienza,このバーチャル空間のプレイヤー用アバター設定を更新,이 체험의 플레이어 아바타 설정을 업데이트합니다,Zaktualizuj ustawienia awatara gracza dla tego projektu,Atualizar configurações de avatar do jogador para esta experiência,,อัปเดตการตั้งค่าอวาตาร์ของผู้เล่นสำหรับประสบการณ์นี้,Bu deneyim için oyuncu avatar ayarlarını güncelle,Cập nhật tùy chọn cài đặt avatar người chơi cho trải nghiệm này,可满足你所有 Studio 插件需求的模版！,可满足你所有 Studio 插件需求的模版！,更新此體驗的玩家虛擬人偶設定
Studio.AvatarSettings.AvatarTypeSelector.AvatarTypeText,,,Avatar Type,Avatar Type,نوع الأفاتار,Avatartyp,Tipo de avatar,Type d'avatar,अवतार का टाइप,Tipe Avatar,Tipo di avatar,アバタータイプ,아바타 유형,Typ awatara,Tipo de avatar,,ประเภทอวาตาร์,Avatar Türü,Loại Avatar,虚拟形象类型,虚拟形象类型,虛擬人偶類型
Studio.AvatarSettings.BodySettings.ScaleSectionPlayerChoiceSubText,,,Use players' choice of scale,Use players' choice of scale,استخدم اختيار اللاعبين لتغيير الحجم,Verwende den von den Spielern gewählten Maßstab,Usar la escala de los jugadores,Utiliser l'échelle choisie par les joueurs,प्लेयर की पसंद का स्केल इस्तेमाल करें,Gunakan pilihan skala pemain,Usa la scala scelta dai giocatori,プレイヤーの選択で拡大/縮小,플레이어가 선택한 스케일 사용,Ustaw skalę zgodnie z wyborem gracza,Use a escolha do jogador para a escala,,ใช้การปรับขนาดจากที่ผู้เล่นเลือก,Ölçeklendirme için oyuncu seçimini kullan,Sử dụng tỷ lệ theo lựa chọn của người chơi,,,使用玩家選擇的比例
Studio.AvatarSettings.BodySettings.AppearanceSectionCustomPartsSubText,,,Replace specific avatar parts with custom parts,Replace specific avatar parts with custom parts,استبدال أجزاء محددة من الأفاتار بأجزاء مخصصة,Ersetze bestimmte Teile des Avatars durch benutzerdefinierte Teile,Reemplazar piezas específicas del avatar por partes personalizadas,Remplace des parties spécifiques de l'avatar par des parties personnalisées,खास अवतार पार्ट्स को कस्टम पार्ट्स से बदलें,Ganti bagian avatar tertentu dengan komponen kustom,Sostituisci parti specifiche dell'avatar con parti personalizzate,カスタムパーツで特定のアバターの部位を置き換え,특정 아바타 파트를 사용자 정의 파트로 교체합니다,Zastępuj określone części awatara częściami niestandardowymi,Substituir partes específicas do avatar por partes personalizadas,,แทนที่ชิ้นส่วนอวาตาร์ที่เจาะจงด้วยชิ้นส่วนแบบกำหนดเอง,Belirli avatar parçalarını özel parçalarla değiştir.,Thay thế bộ phận avatar cụ thể bằng bộ phận tùy chỉnh,,,用自訂部位取代特定虛擬人偶部位
Studio.AvatarSettings.BodySettings.BuildWidth,,,Width,Width,العرض,Breite,Anchura,Largeur,चौड़ाई,Lebar,Larghezza,横幅,너비,Szerokość,Largura,,ความกว้าง,Genişlik,Chiều Rộng,,,寬度
Studio.AvatarSettings.AvatarTypeSelector.R15Only,,,R15 Only,R15 Only,R15 فقط,Nur R15,Solo R15,R15 seulement,सिर्फ़ R15,R15 Saja,Solo R15,R15のみ,R15 전용,Tylko R15,Somente R15,,R15 เท่านั้น,Yalnızca R15,Chỉ Avatar R15,仅限 R15,仅限 R15,僅限 R15
Studio.AvatarSettings.AvatarTypeSelector.R15OnlyDescription,,,Players join as their R15 avatar,Players join as their R15 avatar,ينضم اللاعبون كأفاتار R15,Spieler treten als R15-Avatar bei,Los jugadores se unen como su avatar R15,Les joueurs rejoignent le jeu avec leur avatar R15,प्लेयर्स अपने R15 अवतार के रूप में शामिल होते हैं,Pemain bergabung sebagai avatar R15 mereka,I giocatori si uniscono usando il proprio avatar R15,プレイヤーはR15アバターとして参加します,플레이어가 R15 아바타로 참가합니다,Gracze dołączają jako awatar R15,Jogadores entram com seu avatar R15,,ผู้เล่นเข้าร่วมเป็นอวาตาร์ R15,"Oyuncular, yalnızca R15 avatarlarıyla katılabilir.",Người chơi tham gia với avatar R15 của họ,玩家会以 R15 虚拟形象加入,玩家会以 R15 虚拟形象加入,玩家會以 R15 虛擬人偶加入
Studio.AvatarSettings.AvatarTypeSelector.R6Only,,,R6 Only,R6 Only,R6 فقط,Nur R6,Solo R6,R6 uniquement,सिर्फ़ R6,R6 Saja,Solo R6,R6のみ,R6 전용,Tylko R6,Somente R6,,R6 เท่านั้น,Yalnızca R6,Chỉ Avatar R6,仅限 R6,仅限 R6,僅限 R6
Studio.AvatarSettings.AvatarTypeSelector.R6OnlyDescription,,,"Players join as their R6 avatar, or an R6 fallback avatar","Players join as their R6 avatar, or an R6 fallback avatar",ينضم اللاعبون كأفاتار R6، أو أفاتار احتياطي R6,Spieler treten als R6-Avatar oder als R6-Fallback-Avatar bei,Los jugadores se unen como su avatar R6 o un avatar de respaldo R6,Les joueurs jouent avec leur avatar R6 ou un avatar R6 par défaut,प्लेयर्स अपने R6 अवतार या R6 फ़ॉलबैक अवतार के रूप में शामिल होते हैं,Pemain bergabung sebagai avatar R6 mereka atau avatar R6 pengganti,I giocatori si uniscono usando il proprio avatar R6 o un avatar R6 di riserva,プレイヤーはR6アバターまたはR6の代替アバターとして参加します,플레이어가 R6 아바타 또는 R6 대체 아바타로 참가합니다,Gracze dołączają jako awatar R6 lub jako zapasowy awatar R6,Jogadores entram como avatar R6 ou como avatar de reserva R6,,ผู้เล่นเข้าร่วมเป็นอวาตาร์ R6 หรืออวาตาร์สำรองแบบ R6,"Oyuncular, R6 avatarlarıyla veya yedek bir R6 avatarla katılabilir.",Người chơi tham gia với avatar R6 của họ hoặc một avatar R6 dự phòng,,,玩家會以 R15 虛擬人偶或 R6 備用虛擬人偶加入
