Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.LightTechUpdateRegister.Dialog.Migrate.Button,,,Migrate,Migrate,,Migrieren,Migrar,Migrer,,,,마이그레이션,,Migrar,,,,Chuyển Đổi,,,
Studio.LightTechUpdateRegister.Dialog.Revert.Button,,,Revert,Revert,,Zurücksetzen,Revertir,Revenir à,,,,되돌리기,,Reverter,,,,Đảo Ngược,,,
Studio.LightTechUpdateRegister.On.Startup.Migration.Dialog.Text1,,,Migration from Compatibility to Voxel Lighting,Migration from Compatibility to Voxel Lighting,,Migration von Kompatibilität zu Voxel-Beleuchtung,Migración de Compatibilidad a Iluminación de vóxel,Migration de la compatibilité vers Voxel Lighting,,,,호환성에서 복셀 조명으로의 마이그레이션,,Migração da compatibilidade para a iluminação de voxels,,,,Chuyển Chiếu Sáng Tương Thích sang Chiếu Sáng Voxel,,,
Studio.LightTechUpdateRegister.On.Startup.Migration.Dialog.Text2,,,"Compatibility Lighting is being sunset. In anticipation for this sunset, your experience was migrated from Compatibility Lighting to Voxel Lighting.","Compatibility Lighting is being sunset. In anticipation for this sunset, your experience was migrated from Compatibility Lighting to Voxel Lighting.",,Kompatibilitätsbeleuchtung wird eingestellt. Im Zuge dessen wurde dein Erlebnis von Kompatibilitätsbeleuchtung zu Voxel-Beleuchtung migriert.,"La iluminación de compatibilidad pronto quedará obsoleta. Antes de que suceda, t experiencia migró de Iluminación de compatibilidad a Iluminación de vóxel.","L'éclairage de compatibilité est en train de disparaître. En prévision de cet arrêt, ton expérience a été transférée de Compatibility Lighting à Voxel Lighting.",,,,호환성 조명이 중단됩니다. 중단에 대비하여 체험이 호환성 조명에서 복셀 조명으로 마이그레이션되었습니다.,,"A Compatibilidade de iluminação está sendo encerrada. Em antecipação a encerramento, sua experiência foi migrada da Compatibilidade de iluminação para a Iluminação de voxels.",,,,"Chiếu Sáng Tương Thích đang ở giai đoạn thoái trào. Để chuẩn bị cho giai đoạn thoái trào này, trải nghiệm của bạn đã được chuyển từ Chiếu Sáng Tương Thích sang Chiếu Sáng Voxel.",,,
Studio.LightTechUpdateRegister.On.Startup.Migration.Dialog.Text3,,,"Your original aesthetics was matched as much as possible, but you might still see small differences in your local lights. You can undo the changes by clicking ""Revert"" if this is not a convenient time for you to migrate.","Your original aesthetics was matched as much as possible, but you might still see small differences in your local lights. You can undo the changes by clicking ""Revert"" if this is not a convenient time for you to migrate.",,"Deine ursprüngliche Ästhetik wurde so gut wie möglich angepasst, aber es können trotzdem kleine Unterschiede in deiner lokalen Beleuchtung auftreten. Du kannst die Änderungen rückgängig machen, indem du auf “Zurücksetzen” klickst, wenn dies kein günstiger Zeitpunkt für die Migration ist.","Tu estética original se igualó en la medida de lo posible, pero puede que todavía veas pequeñas diferencias en las luces locales. Puedes deshacer los cambios haciendo clic en ""Revertir"" si este no es un momento conveniente para migrar.","L'esthétique d'origine a été respectée autant que possible, mais il se peut que tu constates encore de petites différences dans tes lumières locales. Tu peux annuler les modifications en cliquant sur « Revenir » si le moment n'est pas propice à la migration.",,,,기존의 미학이 최대한 일치되었지만 로컬 조명에 약간의 차이가 보일 수 있습니다. 마이그레이션하기 적절한 시기가 아니라면 '되돌리기'를 클릭해 변경 사항을 실행 취소할 수 있습니다.,,"Sua estética original foi combinada tanto quanto possível, mas você ainda pode ver pequenas diferenças nas luzes locais. Você pode desfazer as alterações clicando em ""Reverter"" se este não for um momento conveniente para migrar.",,,,"Thiết kế thẩm mỹ ban đầu của bạn đã được giữ lại nhiều nhất có thể, nhưng bạn vẫn có thể thấy những khác biệt nhỏ trong thiết lập ánh sáng cục bộ của mình. Bạn có thể hủy bỏ các thay đổi bằng cách nhấn vào ""Đảo Ngược"" nếu cảm thấy đây không phải là thời điểm chuyển đổi hợp lý.",,,
Studio.LightTechUpdateRegister.On.Startup.Migration.Dialog.Text4,,,Please note that it will no longer be possible to use Compatibility Lighting in the future.,Please note that it will no longer be possible to use Compatibility Lighting in the future.,,"Bitte beachte, dass es in Zukunft nicht mehr möglich sein wird, Kompatibilitätsbeleuchtung zu verwenden.",Ten en cuenta que ya no será posible utilizar la Iluminación de compatibilidad en el futuro.,Veuillez noter qu'il ne sera plus possible d'utiliser Compatibility Lighting dans le futur.,,,,추후 호환성 조명을 더 이상 사용할 수 없게 됩니다.,,Observe que no futuro já não será possível utilizar a compatibilidade de iluminação.,,,,Xin lưu ý là bạn sẽ không thể sử dụng thiết lập Chiếu Sáng Tương Thích trong tương lai.,,,
Studio.LightTechUpdateRegister.On.Startup.Migration.Dialog.Text5,,,We recommend migrating as early as possible.,We recommend migrating as early as possible.,,"Wir empfehlen, die Migration so früh wie möglich durchzuführen.",Recomendamos migrar lo antes posible.,Nous vous recommandons de migrer le plus tôt possible.,,,,최대한 빠른 시일 내에 마이그레이션하는 것을 권장합니다.,,Recomendamos migrar o mais cedo possível.,,,,Chúng tôi khuyến nghị bạn nên chuyển đổi càng sớm càng tốt.,,,
Studio.LightTechUpdateRegister.On.Startup.Migration.Dialog.Text6,,,"You can open this dialog later by clicking the ""..."" button next to the Lighting > Technology Property.","You can open this dialog later by clicking the ""..."" button next to the Lighting > Technology Property.",,"Du kannst dieses Dialogfeld später öffnen, indem du auf die Schaltfläche “...” neben der Eigenschaft “Beleuchtung > Technologie” klickst.","Puede abrir este diálogo más adelante haciendo clic en el botón ""..."" junto a Iluminación > Propiedad de la tecnología.","Tu peux ouvrir cette boîte de dialogue plus tard en cliquant sur le bouton ""..."" à côté de l'éclairage > Propriété technologique.",,,,이 대화 상자는 '조명' > '기술 속성' 옆의 '...' 버튼을 클릭해 나중에 열 수 있습니다.,,"Você pode abrir a caixa de diálogo mais tarde, clicando no botão ""..."" ao lado da Iluminação > Propriedades da tecnologia.",,,,"Bạn có thể mở hộp thoại này sau bằng cách nhấn nút ""..."" bên cạnh Chiếu Sáng > Thuộc Tính Công Nghệ.",,,
Studio.LightTechUpdateRegister.Dialog.Link.Text,,,Find all details on the DevForum announcement.,Find all details on the DevForum announcement.,,Alle Details findest du in der Ankündigung im DevForum.,Encuentra todos los detalles en el anuncio de DevForum.,Trouver tous les détails de l'annonce DevForum.,,,,자세한 내용은 DevForum 공지에서 확인하세요.,,Encontre todos os detalhes no comunicado do DevForum.,,,,Tìm tất cả thông tin chi tiết trên thông báo DevForum.,,,
Studio.LightTechUpdateRegister.Dialog.Title,,,Lighting Technology Migration,Lighting Technology Migration,,Migration der Beleuchtungstechnologie,Migración de tecnología de iluminación,Migration de la technologie d'éclairage,,,,조명 기술 마이그레이션,,Tecnologia de migração de iluminação,,,,Chuyển Đổi Kỹ Thuật Chiếu Sáng,,,
