Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.DeviceEmulator.Plugin.Name,,,Device Emulator,Device Emulator,محاكي الجهاز,Geräte-Emulator,Emulador de dispositivos,Émulateur de l'appareil,डिवाइस एमुलेटर,Emulator Perangkat,Emulatore dispositivo,デバイスエミュレーター,기기 에뮬레이터,Emulator urządzeń,Emulador de dispositivo,,อีมูเลเตอร์อุปกรณ์,Cihaz Öykünücüsü,Trình Giả Lập Thiết Bị,设备模拟器,设备模拟器,裝置模擬器
Studio.DeviceEmulator.Plugin.Toolbar,,,Device Emulator,Device Emulator,محاكي الجهاز,Geräte-Emulator,Emulador de dispositivos,Émulateur de l'appareil,डिवाइस एमुलेटर,Emulator Perangkat,Emulatore dispositivo,デバイスエミュレーター,기기 에뮬레이터,Emulator urządzeń,Emulador de dispositivo,,อีมูเลเตอร์อุปกรณ์,Cihaz Öykünücüsü,Trình Giả Lập Thiết Bị,设备模拟器,设备模拟器,裝置模擬器
Studio.DeviceEmulator.Plugin.Button,,,Toggle,Toggle,تبديل,Umschalten,Alternar,Activer/désactiver,टॉगल करें,Nyalakan/matikan,Attiva/disattiva,切りかえ,토글,Przełącz,Alternador,,เปิด/ปิด,Aç/Kapa,Bật/Tắt,切换,切换,切換
Studio.DeviceEmulator.Plugin.Description,,,Toggles the Device Emulator plugin window,Toggles the Device Emulator plugin window,"تبديل نافذة المكون الإضافي ""محاكي الجهاز""",Schaltet das Geräte-Emulator-Plugin-Fenster um,Alterna la ventana del plugin Emulador de dispositivos,Bascule la fenêtre du plugin EventEmulator,डिवाइस एमुलेटर प्लग-इन विंडो टॉगल करें,Menyalakan/mematikan jendela plugin Emulator Perangkat,Attiva/disattiva la finestra di plugin EventEmulator,デバイスエミュレータのプラグインウィンドウの切りかえ,기기 에뮬레이터 플러그인 창을 토글합니다,Włącza/wyłącza okno dodatku plug-in Emulator urządzeń,Alterna a janela do plugin de emulador de dispositivo,,เปิด/ปิดหน้าต่างปลั๊กอินอีมูเลเตอร์อุปกรณ์,Cihaz Öykünücüsü eklenti penceresini açıp kapatır,Bật/tắt cửa sổ plugin Trình Giả Lập Thiết Bị,切换设备模拟器插件窗口,切换设备模拟器插件窗口,切換裝置模擬器外掛程式視窗
Studio.DeviceEmulator.GraphicsQuality.GraphicsQualityLabel,,,Graphics Quality,Graphics Quality,جودة الرسومات,Grafikqualität,Calidad de gráficos,Qualité graphique,ग्राफ़िक्स क्वॉलिटी,Kualitas Grafik,Qualità grafici,グラフィックの品質,그래픽 품질,Jakość grafiki,Qualidade dos gráficos,,คุณภาพกราฟิก,Görüntü Kalitesi,Chất Lượng Đồ Họa,图形画质,图形画质,圖像品質
Studio.DeviceEmulator.GraphicsQuality.AutoGraphicsQualityLabel,,,Automatic Graphics Quality,Automatic Graphics Quality,جودة الرسومات التلقائية,Automatische Grafikqualität,Calidad gráfica automática,Qualité graphique automatique,ऑटोमैटिक ग्राफ़िक्स क्वॉलिटी,Kualitas Grafik Otomatis,Qualità grafica automatica,自動グラフィック品質,자동 그래픽 품질,Automatyczna jakość grafiki,Qualidade dos gráficos automática,,คุณภาพกราฟิกอัตโนมัติ,Otomatik Görüntü Kalitesi,Chất Lượng Đồ Họa Tự Động,自动图形画质,自动图形画质,自動圖像品質
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagLabel,,,Network Replication Lag (seconds),Network Replication Lag (seconds),تأخير النسخ المتماثل للشبكة (بالثواني),Netzwerk-Replikationsverzögerung (Sekunden),Retraso de replicación de red (segundos),Délai de réplication réseau (secondes),नेटवर्क रेप्लिकेशन लैग (सेकंड),Keterlambatan Replikasi Jaringan (detik),Lag di replica di rete (secondi),ネットワークのレプリケーション遅延（秒）,네트워크 복제 지연(초),Opóźnienie replikacji w sieci (w sekundach),Atraso de replicação de rede (em segundos),,ความล่าช้าในการจำลองเครือข่าย (วินาที),Ağ Çoğaltma Gecikmesi (saniye),Độ Trễ Sao Chép Mạng (giây),网络复制延迟（秒）,网络复制延迟（秒）,網路複寫延遲（秒）
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagNotNumberError,,,Must be a number,Must be a number,يجب أن يكون رقمًا,Muss eine Zahl sein,Debe ser un número,Doit être un nombre,नंबर होना चाहिए,Harus berupa angka,Deve essere un numero,必ず数字にしてください,숫자여야 합니다,Musi być wartością liczbową,Deve ser um número,,ต้องเป็นหมายเลข,Sayı olmalı,Phải là một số,必须为数字,必须为数字,須為數字
Studio.DeviceEmulator.NetworkSettings.NetworkReplicationLagPlaceholder,,,0.5,0.5,0.5,"0,5",0.5,0.5,0.5,0.5,0.5,0.5,0.5,"0,5",0.5,,0.5,"0,5","0,5",0.5,0.5,0.5
Studio.DeviceEmulator.MultiTouchPane.MultiTouchPaneLabel,,,Multi-Touch Emulation,Multi-Touch Emulation,محاكاة اللمس المتعدد,Multi-Touch-Emulation,Emulación multitoques,Émulation Multi-Touches,मल्टी-टच एमुलेशन,Emulasi Multisentuhan,Emulazione multi-touch,マルチタッチ・エミュレーション,멀티터치 에뮬레이션,Emulacja wielodotyku,Emulação de multitoque,,การจำลองมัลติทัช,Çoklu Dokunma Öykünmesi,Mô Phỏng Nhiều Điểm Chạm,多点触控模拟,多点触控模拟,多點觸控模擬
