Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.LiveSync.PackageLinkAdded,,,Unable to sync '%1' because it is part of a package.,Unable to sync '%1' because it is part of a package.,"تعذَّر مزامنة ""%1"" لأنه جزء من حزمة.","Die Synchronisierung von '%1' ist nicht möglich, da es Teil eines Pakets ist.",No se puede sincronizar '%1' porque es parte de un paquete.,Impossible de synchroniser '%1' car il fait partie d'un package.,"'%1' सिंक नहीं किया जा सका, क्योंकि यह किसी पैकेज का हिस्सा है.",Gagal menyinkronkan '%1' karena merupakan bagian dari paket.,"Impossibile sincronizzare ""%1"" perché è parte di un pacchetto.",パッケージの一部であるため '%1' を同期できません。,'%1'이(가) 패키지의 일부이므로 동기화할 수 없습니다.,"Nie można zsynchronizować elementu „%1”, ponieważ jest częścią pakietu.",Não foi possível sincronizar '%1' porque é parte de um pacote.,,ไม่สามารถทำการซิงก์ '%1' ได้ เพราะว่ามันเป็นส่วนหนึ่งของแพ็คเกจ,"Bir paketin parçası olduğu için ""%1"" güncellenemedi.",Không thể đồng bộ '%1' vì đây là một phần của gói.,,,無法同步「%1」，因為這是套件的一部分。
Studio.LiveSync.StartSyncContentMismatch,,,Unable to resume sync for '%1': Local file does not match the version in Roblox Studio,Unable to resume sync for '%1': Local file does not match the version in Roblox Studio,تعذَّر استئناف المزامنة لـ '%1': لا يتطابق الملف المحلي مع الإصدار في Roblox Studio,Die Synchronisierung für '%1' kann nicht fortgesetzt werden: Die lokale Datei entspricht nicht der Version in Roblox Studio,No se puede reanudar la sincronización para '%1': El archivo local no coincide con la versión en Roblox Studio,Impossible de reprendre la synchronisation pour '%1'. Le fichier local ne correspond pas à la version de Roblox Studio,'%1' के लिए सिंक फिर से शुरू नहीं किया जा सका : लोकल फ़ाइल Roblox Studio के वर्ज़न से मेल नहीं खाती,Tidak dapat melanjutkan sinkronisasi untuk '%1': Versi file lokal tidak cocok dengan versi di Roblox Studio,"Impossibile riprendere la sincronizzazione per ""%1"". Il file locale non corrisponde alla versione in Roblox Studio",'%1' の同期を再開できません: ローカルファイルがRoblox Studioのバージョンと一致しません,'%1'의 동기화를 재개할 수 없습니다. 로컬 파일이 Roblox Studio의 버전과 일치하지 않습니다.,Nie można wznowić synchronizacji skryptu „%1”: Plik lokalny nie jest zgodny z wersją w aplikacji Roblox Studio:,Não é possível retomar a sincronização para '%1'. O arquivo local não corresponde à versão no Roblox Studio,,ไม่สามารถซิงค์ '%1' ต่อได้: ไฟล์ในเครื่องไม่ตรงกับเวอร์ชันใน Roblox Studio,"""%1"" için senkronizasyon işlemine devam edilemiyor: Yerel dosya, Roblox Studio'daki sürümü ile eşleşmiyor",Không thể tiếp tục đồng bộ hóa cho '%1': Tệp tin cục bộ không khớp với phiên bản trong Roblox Studio,,,無法繼續「%1」的同步：本機檔案與 Roblox Studio 中的版本不符
Studio.LiveSync.StartSyncInstanceMissing,,,Unable to resume sync for '%1'. The instance no longer exists.,Unable to resume sync for '%1'. The instance no longer exists.,تعذَّر استئناف المزامنة لـ '%1'. لم تعد الحالة موجودة.,Die Synchronisierung für '%1' kann nicht fortgesetzt werden. Die Instanz existiert nicht mehr.,No se puede reanudar la sincronización para '%1'. La instancia ya no existe.,Impossible de reprendre la synchronisation pour '%1'. L'instance n'existe plus.,'%1' के लिए सिंक फिर से शुरू नहीं किया जा सका. इंस्टैंस अब मौजूद नहीं है.,Tidak dapat melanjutkan sinkronisasi untuk '%1'. Instans sudah tidak ada.,"Impossibile riprendere la sincronizzazione per ""%1"". L'istanza non esiste più.",'%1' の同期を再開できません。インスタンスがもうありません。,'%1'의 동기화를 재개할 수 없습니다. 인스턴스가 더 이상 존재하지 않습니다.,Nie można wznowić synchronizacji instancji „%1”. Instancja już nie istnieje.,Não é possível retomar a sincronização para '%1'. A instância não existe mais.,,ไม่สามารถซิงค์ '%1' ต่อได้ อินสแตนซ์นี้ไม่มีอยู่อีกต่อไปแล้ว,"""%1"" için senkronizasyon işlemine devam edilemiyor. Örnek artık mevcut değil.",Không thể tiếp tục đồng bộ hóa cho '%1'. Đối tượng không còn tồn tại.,,,無法繼續「%1」的同步。該個體已不存在。
Studio.LiveSync.FailedToAccessPlaceMetadata,,,Unable to save the file sync configuration. Could not access place metadata.,Unable to save the file sync configuration. Could not access place metadata.,تعذَّر حفظ تهيئة مزامنة الملف. تعذَّر الوصول إلى بيانات التعريف للمكان.,Die Konfiguration der Dateisynchronisierung kann nicht gespeichert werden. Kein Zugriff auf die Metadaten des Ortes.,No se puede guardar la configuración de sincronización de archivos. No se pudo acceder a los metadatos de lugar.,Impossible d'enregistrer la configuration de synchronisation du fichier. Impossible d'accéder aux métadonnées.,फ़ाइल सिंक कॉन्फ़िगरेशन सेव नहीं किया जा सका. प्लेसमेटाडेटा ऐक्सेस नहीं किया जा सका.,Tidak dapat menyimpan konfigurasi sinkronisasi file. Tidak dapat mengakses metadata tempat.,Impossibile salvare la configurazione di sincronizzazione dei file. Impossibile accedere ai metadati.,ファイルの同期設定を保存できません。プレースのメタデータにアクセスできませんでした。,파일 동기화 구성을 저장할 수 없습니다. 플레이스 메타데이터에 액세스할 수 없습니다.,Nie można zapisać konfiguracji synchronizacji plików. Nie udało się uzyskać dostępu do metadanych miejsca.,Não é possível salvar a configuração de sincronização de arquivo. Não foi possível acessar os metadados do local.,,ไม่สามารถบันทึกการตั้งค่าซิงค์ไฟล์ ไม่สามารถเข้าถึงเมตาดาต้าของสถานที่,Dosya senkronizasyonu yapılandırması kaydedilemedi. Mekân meta verisine erişilemiyor.,Không thể lưu cấu hình đồng bộ tệp tin. Không thể truy cập vào siêu dữ liệu địa điểm.,,,無法儲存檔案同步設置。無法存取地點中繼資料。
Studio.LiveSync.ErrorInPreviousSync,,,Unable to resume sync for '%1': Contained errors in the previous session,Unable to resume sync for '%1': Contained errors in the previous session,تعذَّر استئناف المزامنة لـ '%1': تحتوي على أخطاء في الجلسة السابقة,Die Synchronisierung für '%1' kann nicht fortgesetzt werden: Es gab Fehler in der vorherigen Sitzung,No se puede reanudar la sincronización para '%1': Contenía errores en la sesión anterior,Impossible de reprendre la synchronisation pour '%1' car elle contenait des erreurs lors de la session précédente,'%1' के लिए सिंक फिर से शुरू नहीं किया जा सका : पिछले सेशन में गड़बड़ी थी,Tidak dapat melanjutkan sinkronisasi untuk '%1': Mengandung eror di sesi sebelumnya,"Impossibile riprendere la sincronizzazione per ""%1"" perché conteneva errori nella sessione precedente",'%1' の同期を再開できません: 前回のセッションにエラーが含まれています,'%1'의 동기화를 재개할 수 없습니다. 이전 세션에 오류가 포함되어 있습니다.,Nie można wznowić synchronizacji skryptu „%1”: W poprzedniej sesji skrypt zawierał błędy,Não foi possível retomar a sincronização para '%1': Erros contidos na sessão anterior,,ไม่สามารถซิงค์ '%1' ต่อได้: มีข้อผิดพลาดในเซสชันก่อนหน้านี้,"""%1"" için senkronizasyon işlemine devam edilemiyor: Önceki oturumda hatalar içeriyor",Không thể tiếp tục đồng bộ hóa cho '%1': Đã có lỗi trong các phiên trước,,,無法繼續「%1」的同步：先前作業含有錯誤
Studio.LiveSync.DisablingAutoResume,,,A crash occurred during sync auto-resume in the previous session: disabling for this session.,A crash occurred during sync auto-resume in the previous session: disabling for this session.,حدث تعطّل أثناء الاستئناف التلقائي للمزامنة في الجلسة السابقة: تعطيل هذه الجلسة.,Während der automatischen Fortsetzung der Synchronisierung in der vorherigen Sitzung ist ein Absturz aufgetreten: Deaktivierung für diese Sitzung.,Se produjo un error durante la sincronización de la reanudación automática en la sesión anterior. Deshabilitando para esta sesión.,Un plantage s'est produit lors de la reprise automatique de la synchronisation dans la session précédente : désactivation pour cette session.,पिछले सेशन में सिंक ऑटो-रिज़्यूम के दौरान क्रैश हुआ : इस सेशन के लिए बंद किया जा रहा है.,Terjadi crash ketika menyinkronkan lanjutkan otomatis pada sesi sebelumnya: menonaktifkan untuk sesi ini.,Si è verificato un arresto anomalo durante il ripristino automatico della sincronizzazione nella sessione precedente: la funzionalità è disattivata per questa sessione.,前のセッションの同期自動再開中にクラッシュが発生しました: このセッションを無効にします。,이전 세션에서 동기화 자동 재개 중 충돌이 발생했습니다. 이 세션에서는 비활성화합니다.,Podczas automatycznego wznawiania synchronizacji w poprzednich sesjach wystąpiła awaria: trwa wyłączanie dla tej sesji.,Ocorreu um erro durante a sincronização do reinício automático da sessão anterior: desativar para esta sessão.,,เกิดเหตุหยุดทำงานขึ้นระหว่างการดำเนินการซิงก์ต่ออัตโนมัติในเซสชันก่อนหน้านี้: ปิดใช้งานสำหรับเซสชันนี้,Önceki oturumun otomatik senkronizasyon devam etme sürecinde bir çökme meydana geldi: Bu oturum için devre dışı bırakılıyor.,Đã xảy ra sự cố khi tự động tiếp tục đồng bộ trong phiên trước: đang vô hiệu trong phiên này.,,,在先前作業中的自動繼續同步發生錯誤：正在為此作業停用。
Studio.LiveSync.FileNotFoundStoppingSync,,,Can't sync %1 to disk at %2: File not found,Can't sync %1 to disk at %2: File not found,لا يمكن مزامنة %1 إلى القرص في %2: لم يتم العثور على الملف,Kann %1 nicht auf die Festplatte unter %2 synchronisieren: Datei nicht gefunden,No se puede sincronizar %1 al disco %2: Archivo no encontrado,Impossible de synchroniser %1 sur le disque à %2: Fichier introuvable,%1 को %2 पर डिस्क से सिंक नहीं किया जा सकता : फ़ाइल नहीं मिली,Tidak bisa menyinkronkan %1 ke disk di %2: File tidak ditemukan,Impossibile sincronizzare %1 sul disco in %2: file non trovato,%1 を %2 でディスクに同期できません: ファイルが見つかりません,%2의 디스크에 %1 동기화 실패: 파일을 찾을 수 없습니다,Nie można zsynchronizować elementu %1 z dyskiem w lokalizacji %2: Nie znaleziono pliku,Não foi possível sincronizar %1 ao disco em %2: Arquivo não encontrado,,ไม่สามารถซิงค์ %1 ไปยังดิสก์ที่ %2 ได้: ไม่พบไฟล์,"%1, %2 konumunda diskle senkronize edilemiyor: Dosya bulunamadı",Không thể đồng bộ %1 vào ổ đĩa tại %2: Không tìm thấy tệp tin,,,無法將「%1」同步至磁碟的「%2」：找不到檔案
Studio.LiveSync.SyncToNewFile,,,Sync with New File…,Sync with New File…,,,,,,,,,,,,,,,,,,
Studio.LiveSync.StartSyncingTitle,,,<b>Sync Changes</b>,<b>Sync Changes</b>,,,,,,,,,,,,,,,,,,
Studio.LiveSync.SyncToNewFileTooltip,,,"Start syncing a Script, LocalScript or ModuleScript with a new file on disk","Start syncing a Script, LocalScript or ModuleScript with a new file on disk",,,,,,,,,,,,,,,,,,
