Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.DistributedScripts.AddBehaviorBindingPopup.CreateBehaviorBindingFmt1,,,Create and bind Behavior: %1,Create and bind Behavior: %1,إنشاء ودمج السلوك: %1,Bahvior erstellen und binden: %1,Crear y enlazar Behavior: %1,Comportement de création et de liaison : %1,बिहेवियर बनाएँ और बाइंड करें : %1,Buat dan ikat Perilaku: %1,Crea e associa comportamento: %1,作成して動作をバインド: %1,행동 생성 및 바인딩: %1,Utwórz i powiąż zachowanie: %1,Criar e vincular comportamento: %1,,สร้างและเชื่อมโยงลักษณะการทำงาน: %1,Davranış oluştur ve bağla: %1,Tạo và ràng buộc Behavior: %1,,,建立並綁定行為：%1
Studio.DistributedScripts.AddBehaviorBindingPopup.LineEditText,,,Search for a Behavior to bind to,Search for a Behavior to bind to,البحث عن سلوك لإجراء دمج له,"Suche nach einem Behavior, an das gebunden werden soll",Buscar un Behavior al que vincular,Recherche d'un comportement à associer,बाइंड करने के लिए कोई बिहेवियर सर्च करें,Cari Perilaku untuk diikatkan,Cerca un comportamento da associare a,以下とバインドする動作をサーチ:,바인딩할 행동을 검색하세요,"Wyszukaj zachowanie, z którym chcesz się powiązać",Pesquisar por um comportamento para vincular,,ค้นหาลักษณะการทำงานที่จะเชื่อมโยง,Bağlanacak bir Davranış ara,Tìm kiếm một Behavior để ràng buộc,,,搜尋要綁定的行為
Studio.DistributedScripts.AddBehaviorBindingPopup.NoBehaviorBindingsCreated,,,No Behaviors have been bound yet,No Behaviors have been bound yet,لم يتم دمج أي سلوكيات حتى الآن,Es wurden noch keine Behaviors gebunden,Aún no se han vinculado Behaviors,Aucun comportement n'a encore été associé,अभी तक कोई बिहेवियर बाइंड नहीं किया गया है,Belum ada Perilaku yang diikat,Nessun comportamento è stato ancora associato,バインドされた動作がまだありません,아직 바인딩된 행동이 없습니다,Nie powiązano jeszcze żadnych zachowań,Nenhum comportamento foi vinculado ainda,,ยังไม่มีลักษณะการทำงานที่เชื่อมโยงไว้,Henüz hiçbir davranış bağlanmadı,Chưa ràng buộc Behavior nào,,,尚未綁定任何行為
Studio.DistributedScripts.NoBehaviorBindingsLabelItem.NoBehaviorsFound,,,No bindable Behaviors were found,No bindable Behaviors were found,لم يتم العثور على سلوكيات قابلة للدمج,Es wurden keine bindbaren Behaviors gefunden,No se encontraron comportamientos vinculables,Aucun comportement associable n'a été trouvé,कोई बाइंड करने लायक बिहेवियर नहीं मिला,Tidak ada Perilaku yang dapat diikat,Non sono stati trovati comportamenti da associare,バインドできる動作が見つかりません,바인딩할 수 있는 행동을 찾지 못했습니다,"Nie znaleziono zachowań, które można powiązać",Não foram encontrados comportamentos vinculáveis,,ไม่พบลักษณะการทำงานที่เชื่อมโยงได้,Bağlanabilir Davranış bulunamadı,Không có Behavior nào có thể ràng buộc,,,找不到可綁定的行為
Studio.DistributedScripts.BehaviorName,,,Behavior,Behavior,سلوك,Behavior,Behavior,Comportement,बिहेवियर,Perilaku,Comportamento,動作,행동,Zachowanie,Comportamento,,ลักษณะการทำงาน,Davranış,Behavior,,,行為
Studio.DistributedScripts.RobloxRibbonMainWindow.InsertABehavior,,,Insert a behavior,Insert a behavior,إدراج سلوك,Ein Verhalten einfügen,Insertar Behavior en ReplicatedStorage.Behaviors,Insérer un comportement dans ReplicatedStorage.Behaviors,बिहेवियर डालें,Masukkan perilaku,Inserisci un comportamento,ReplicatedStorage.Behaviors に動作を挿入,ReplicatedStorage.Behaviors에 행동을 삽입하세요,Wstaw zachowanie,Insira um comportamento em ReplicatedStorage.Behaviors,,แทรกลักษณะการทำงาน,Bir davranış ekle,Chèn một Behavior vào ReplicatedStorage.Behaviors,,,將行為插入 ReplicatedStorage.Behaviors
Studio.DistributedScripts.ResimulatedClient,,,Client (Resim),Client (Resim),العميل (مُعاد محاكاته),Client (Resim),Cliente (Resimulado),Client (Resim),क्लाइंट (Resim),Klien (Resim),Client (Resim),クライアント（再シミュレーション）,클라이언트(재시뮬),Klient (Resim),Cliente (Resimulação),,ไคลเอ็นต์ (Resim),İstemci (Resimülasyon),Máy khách (Resim),,,用戶 (Resim)
Studio.DistributedScripts.ResimulatedServer,,,Server (Resim),Server (Resim),الخادم (مُعاد محاكاته),Server (Resim),Servidor (Resimulado),Serveur (Resim),सर्वर (Resim),Server (Resim),Server (Resim),サーバー（再シミュレーション）,서버(재시뮬),Serwer (Resim),Servidor (Resimulação),,เซิร์ฟเวอร์ (Resim),Sunucu (Resimülasyon),Máy chủ (Resim),,,伺服器 (Resim)
Studio.DistributedScripts.ResimulatedEdit,,,Edit (Resim),Edit (Resim),تحرير (مُعاد محاكاته),Bearbeiten (Resim),Edición (Resimulado),Éditer (Resim),एडिट करें (रीसिम्युलेशन),Edit (Resim),Modifica (Resim),編集（再シミュレーション）,편집(재시뮬),Edytowanie (Resim),Editar (Resimulação),,แก้ไข (Resim),Düzenleme (Resimülasyon),Chỉnh sửa (Resim),,,編輯 (Resim)
Studio.DistributedScripts.ResimulatedCoreScript,,,CoreScript (Resim),CoreScript (Resim),النص الأساسي (مُعاد محاكاته),CoreScript (Resim),CoreScript (Resimulado),CoreScript (Resim),CoreScript (रीसिम्युलेशन),CoreScript (Resim),CoreScript (Resim),CoreScript（再シミュレーション）,CoreScript(재시뮬),CoreScript (Resim),CoreScript (Resimulação),,CoreScript (Resim),CoreScript (Resimülasyon),CoreScript (Resim),,,CoreScript (Resim)
