Key,Context,Source,en-us
Studio.App.EmulatorMainWidget.FitToWindow,,Fit to Window,Fit to Window
Studio.App.EmulatorMainWidget.PhysicalSize,,Physical Size,Physical Size
Studio.App.EmulatorMainWidget.CalibratePhysicalScaling,,Calibrate Physical Scaling,Calibrate Physical Scaling
Studio.App.EmulatorMainWidget.ActualResolution,,Actual Resolution,Actual Resolution
Studio.App.EmulatorMainWidget.RotateMobileDeviceOrientation,,Rotate mobile device orientation,Rotate mobile device orientation
Studio.App.EmulatorMainWidget.RotatePhonesTablets,,You can only rotate phones and tablets,You can only rotate phones and tablets
Studio.App.EmulatorMainWidget.MockAndroidBackButton,,Simulate a click on the Android Back button,Simulate a click on the Android Back button
Studio.App.EmulatorMainWidget.ConsoleSectionName,,Console,Console
Studio.App.EmulatorMainWidget.DesktopSectionName,,Desktop,Desktop
Studio.App.EmulatorMainWidget.TabletSectionName,,Tablet,Tablet
Studio.App.EmulatorMainWidget.PhoneSectionName,,Phone,Phone
Studio.App.EmulatorMainWidget.CustomDeviceSectionName,,Custom Device,Custom Device
Studio.App.EmulatorMainWidget.ManageDevices,,Manage Devices,Manage Devices
Studio.App.EmulatorMainWidget.ModeNotEnabledTitle,,%1 Not Enabled,%1 Not Enabled
Studio.App.EmulatorMainWidget.StarterGuiModeNotEnabledMessage1,,%1 mode is not enabled for your game.,%1 mode is not enabled for your game.
Studio.App.EmulatorMainWidget.StarterGuiEnabledModeMessage3,,"To enable it, stop the experience if running, and set the %1 setting of %2 to one of the following: %3","To enable it, stop the experience if running, and set the %1 setting of %2 to one of the following: %3"
Studio.App.EmulatorMainWidget.StarterGui,,StarterGui,StarterGui
Studio.App.EmulatorMainWidget.ScreenOrientation,,ScreenOrientation,ScreenOrientation
Studio.App.EmulatorMainWidget.Landscape,,Landscape,Landscape
Studio.App.EmulatorMainWidget.LandscapeRightSpace,,Landscape Right,Landscape Right
Studio.App.EmulatorMainWidget.LandscapeRight,,LandscapeRight,LandscapeRight
Studio.App.EmulatorMainWidget.LandscapeLeftSpace,,Landscape Left,Landscape Left
Studio.App.EmulatorMainWidget.LandscapeLeft,,LandscapeLeft,LandscapeLeft
Studio.App.EmulatorMainWidget.LandscapeSensor,,LandscapeSensor,LandscapeSensor
Studio.App.EmulatorMainWidget.Sensor,,Sensor,Sensor
Studio.App.EmulatorMainWidget.Portrait,,Portrait,Portrait
Studio.App.EmulatorMainWidget.Windows,,Windows,Windows
Studio.App.EmulatorMainWidget.OSX,,OSX,OSX
Studio.App.EmulatorMainWidget.iOS,,iOS,iOS
Studio.App.EmulatorMainWidget.Android,,Android,Android
Studio.App.EmulatorMainWidget.XBoxOne,,XBoxOne,XBoxOne
Studio.App.EmulatorMainWidget.PS4,,PS4,PS4
Studio.App.EmulatorMainWidget.PS3,,PS3,PS3
Studio.App.EmulatorMainWidget.XBox360,,XBox360,XBox360
Studio.App.EmulatorMainWidget.WiiU,,WiiU,WiiU
Studio.App.EmulatorMainWidget.NX,,NX,NX
Studio.App.EmulatorMainWidget.Ouya,,Ouya,Ouya
Studio.App.EmulatorMainWidget.AndroidTV,,AndroidTV,AndroidTV
Studio.App.EmulatorMainWidget.Chromecast,,Chromecast,Chromecast
Studio.App.EmulatorMainWidget.Linux,,Linux,Linux
Studio.App.EmulatorMainWidget.SteamOS,,SteamOS,SteamOS
Studio.App.EmulatorMainWidget.WebOS,,WebOS,WebOS
Studio.App.EmulatorMainWidget.DOS,,DOS,DOS
