Key,Context,Source,en-us
Studio.App.BetaFeatures.ConstraintVisualsTitle,,Contraint Visualization Improvements,Contraint Visualization Improvements
Studio.App.BetaFeatures.ConstraintVisualsDescription,,Details are shown on selected constraints even without the global Constraint Details enabled. Constraints appear translucent through occluding objects.,Details are shown on selected constraints even without the global Constraint Details enabled. Constraints appear translucent through occluding objects.
Studio.App.BetaFeature.UpgradeShorelinesTitle,,Upgrade Shorelines,Upgrade Shorelines
Studio.App.BetaFeature.UpgradeShorelinesDescription,,"Enable the new terrain upgrade which provides a smooth connection where water joins the shores. This upgrade also allows water edges to animate following the water's movement. After enabling the beta, you can choose to apply the shorelines upgrade for each of your places independently, through the Terrain Editor. The upgrade can be reverted with the Undo command.","Enable the new terrain upgrade which provides a smooth connection where water joins the shores. This upgrade also allows water edges to animate following the water's movement. After enabling the beta, you can choose to apply the shorelines upgrade for each of your places independently, through the Terrain Editor. The upgrade can be reverted with the Undo command."
Studio.App.BetaFeature.SmoothVoxelsTitle,,Smooth Voxels,Smooth Voxels
Studio.App.BetaFeature.SmoothVoxelsDescription,,Enable the terrain upgrade changing the way voxels are rendered to make them much smoother in cases where there were terracing issues and LOD artefacts before. (NOTE: Requires Upgrade Shorelines!),Enable the terrain upgrade changing the way voxels are rendered to make them much smoother in cases where there were terracing issues and LOD artefacts before. (NOTE: Requires Upgrade Shorelines!)
Studio.Settings.BetaFeature.HighDpiRestartTitle,,Beta Feature is in Invalid State,Beta Feature is in Invalid State
Studio.Settings.BetaFeature.HighDpiRestartDescription,"Studio is in a potentially invalid state, and should be restarted to ensure propper functionality","New Icons / DPI Aware Studio Beta Feature has been changed, and requires a restart to take effect.","New Icons / DPI Aware Studio Beta Feature has been changed, and requires a restart to take effect."
Studio.App.BetaFeatures.CloudLoadFailedFmt1,error fetching BF from cloud,Failed to load beta features from cloud: %1,Failed to load beta features from cloud: %1
Studio.App.BetaFeatures.CloudReloadPrompt,reload because BFs loaded from cloud,Beta features enabled for this account differ from those saved locally. Updated Beta features will not be available until you restart Studio.,Beta features enabled for this account differ from those saved locally. Updated Beta features will not be available until you restart Studio.
Studio.App.BetaFeatures.RestartStudioTitle,,Restart Studio,Restart Studio
Studio.App.BetaFeatures.SomethingChangedPrompt,,Would you like to restart Studio now?,Would you like to restart Studio now?
Studio.App.BetaFeatures.RestartWarning,,Beta features will not be activated until you restart Studio,Beta features will not be activated until you restart Studio
Studio.App.BetaFeatures.AudioVolumetricSoundsTitle,,Volumetric Sounds,Volumetric Sounds
Studio.App.BetaFeatures.AudioVolumetricSoundsDescription,,"Enables Sound Instances that are children of Cylinder, Block, and Ball parts to emit audio from every point on the surface of the part, rather than only the center.","Enables Sound Instances that are children of Cylinder, Block, and Ball parts to emit audio from every point on the surface of the part, rather than only the center."
