Key,Source,de-de,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.MaterialGenerator.Plugin.Toolbar,MaterialGenerator,MaterialGenerator,MaterialGenerator,Generador de materiales,MaterialGenerator,MaterialGenerator,MaterialGenerator,Gerador de materiais,材质生成器,材质生成器,MaterialGenerator
Studio.MaterialGenerator.Errors.AccountingFailedDecrement,Usage is limited during beta. Wait a moment and try again.,Die Nutzung ist während der Beta-Phase begrenzt. Warte einen Moment und versuche es erneut.,Usage is limited during beta. Wait a moment and try again.,El uso está limitado durante la beta. Espera un momento e inténtalo de nuevo.,L'utilisation est limitée pendant la bêta. Attends un moment et essaie à nouveau.,ベータ版の期間中は使用が制限されています。しばらくしてからお試しください。,베타 기간 동안에는 서비스가 제한적으로 제공됩니다. 잠시 기다렸다가 다시 시도하세요.,O uso é limitado durante o beta. Aguarde um momento e tente novamente.,测试期间使用量有限。请稍候并重试。,测试期间使用量有限。请稍候并重试。,Beta 測試期間使用量有限。請稍等然後再試一次。
Studio.MaterialGenerator.Errors.TooManyRequests,Usage is limited during beta. Wait a moment and try again.,Die Nutzung ist während der Beta-Phase begrenzt. Warte einen Moment und versuche es erneut.,Usage is limited during beta. Wait a moment and try again.,El uso está limitado durante la beta. Espera un momento e inténtalo de nuevo.,L'utilisation est limitée pendant la bêta. Attends un moment et essaie à nouveau.,ベータ版の期間中は使用が制限されています。しばらくしてからお試しください。,베타 기간 동안에는 서비스가 제한적으로 제공됩니다. 잠시 기다렸다가 다시 시도하세요.,O uso é limitado durante o beta. Aguarde um momento e tente novamente.,测试期间使用量有限。请稍候并重试。,测试期间使用量有限。请稍候并重试。,Beta 測試期間使用量有限。請稍等然後再試一次。
Studio.MaterialGenerator.Plugin.Button,Material Generator,Material Generator,Material Generator,Generador de materiales,Générateur de matériaux,素材生成,재질 생성기,Gerador de materiais,材质生成器,材质生成器,材質產生器
Studio.MaterialGenerator.Plugin.Name,Material Generator,Material Generator,Material Generator,Generador de materiales,Générateur de matériaux,素材生成,재질 생성기,Gerador de materiais,材质生成器,材质生成器,材質產生器
Studio.MaterialGenerator.Plugin.Description,Generate materials from text using AI,Generiere Materialien aus Text mithilfe von KI,Generate materials from text using AI,Genera materiales a partir de texto usando IA,Générer des matériaux à partir de texte en utilisant l'IA,AIを使用してテキストから素材を生成する,AI를 사용해 텍스트로부터 재질을 생성합니다,Gere materiais a partir de texto usando IA,使用人工智能文本生成材质,使用人工智能文本生成材质,使用 AI 自文字產出材質
Studio.MaterialGenerator.Header.GenerateButton,Generate,Generieren,Generate,Generar,Générer,生成する,생성,Gerar,生成,生成,產出
Studio.MaterialGenerator.Browser.GenerateVariations,Generate Variations,Variationen generieren,Generate Variations,Generar variaciones,Générer des variations,バリエーションを生成,변형 생성,Gerar variações,生成变体,生成变体,產出變化
Studio.MaterialGenerator.TextureBrowser.GenerateVariations,Generate Variations,Variationen generieren,Generate Variations,Generar variaciones,Générer des variations,バリエーションを生成,변형 생성,Gerar variações,生成变体,生成变体,產出變化
Studio.MaterialGenerator.Header.PromptPlaceholderText,Ancient stone wall...,Antike Steinmauer ...,Ancient stone wall...,Muro de piedra antiguo...,Ancien mur de pierre...,古代の石壁...,고대 돌담...,Parede de pedra antiga...,古代石墙……,古代石墙……,古代石牆……
