Key,en-us
Studio.AssetImporter.AssetImportTree.Contains,Contains %d %s
Studio.AssetImporter.AssetImportTree.Descendants,Descendants contain %s
Studio.AssetImporter.AssetImportTree.Errors,error(s)
Studio.AssetImporter.AssetImportTree.Warnings,warning(s)
Studio.AssetImporter.Plugin.Browse,Browse...
Studio.AssetImporter.Plugin.Button,Import
Studio.AssetImporter.Plugin.Description,Import an FBX file using the Mesh Importer.
Studio.AssetImporter.Plugin.ImportConfiguration,Settings for the current import
Studio.AssetImporter.Plugin.Name,AssetImporter
Studio.AssetImporter.Plugin.Toolbar,Mesh Importer
Studio.AssetImporter.TreeViewToolbar.Collapse,Collapse
Studio.AssetImporter.TreeViewToolbar.Expand,Expand
